,mbfc__Event_Date__c,mbfc__Location_text__c,mbfc__Notation_Type__c,mbfc__Register_Entry_Type__c,mbfc__Ordination_Type__c,mbfc__Celebrant__c,mbfc__Contact__c,Archdpdx_Job_Id__c,Archdpdx_Migration_Id__c
840,1983-05-28,"Our Lady of Loretto, Los Angeles, CA",Proof of Baptism,Notation,,,003Dx00000nKiyBIAS,124,1573_Notation_ProofofBaptismnan
841,2010-02-27,"St. Dominic Church, Benicia",Notice of Holy Orders,Notation,Diaconate,,003Dx00000nKiyBIAS,124,1573_Notation_NoticeofHolyOrdersDiaconate
842,2011-05-02,"St. Theresa Church, Oakland, CA",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjdCIAS,003Dx00000nKiyBIAS,124,1573_Notation_NoticeofHolyOrdersPresbyteral
843,1982-01-06,Rauya-Moshi,Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjdHIAS,003Dx00000nKiyDIAS,124,785_Notation_NoticeofHolyOrdersPresbyteral
844,1966-01-14,,Notice of Matrimony,Notation,,,003Dx00000nKiyEIAS,124,194_Notation_NoticeofMatrimonynan
845,1991-03-01,,Notice of Matrimony,Notation,,,003Dx00000nKiyMIAS,124,1668_Notation_NoticeofMatrimonynan
846,2012-04-07,"Shepherd of the Valley Parish, Central Point, Oregon",Proof of Baptism,Notation,,,003Dx00000nKiyNIAS,124,2035_Notation_ProofofBaptismnan
847,1991-03-01,,Notice of Matrimony,Notation,,,003Dx00000nKiyNIAS,124,2035_Notation_NoticeofMatrimonynan
848,1970-07-06,"Nuestra Senora del Carmen Parish, Abejorral, Colombia",Proof of Baptism,Notation,,,003Dx00000nKiyRIAS,124,827_Notation_ProofofBaptismnan
849,2010-06-05,"Cathedral of the Immaculate Conception, Portland, OR",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjOGIA0,003Dx00000nKiyRIAS,124,827_Notation_NoticeofHolyOrdersPresbyteral
850,2013-06-08,"Cathedral of the Immaculate Conception, Portland, OR",Notice of Holy Orders,Notation,Presbyteral,003Dx00000nKjZKIA0,003Dx00000nKiyTIAS,124,705_Notation_NoticeofHolyOrdersPresbyteral
